State,1969-70,1979-80,1989-90,1999-2000,2009-10,2014-15,2015-16
United States,8626,15970,31367,41807,55202,57420,58064
Alabama,6818,13060,24828,36689,47571,48611,49781
Alaska,10560,27210,43153,46462,59672,66755,67443
Arizona,8711,15054,29402,36902,46952,45406,45477
Arkansas,6307,12299,22352,33386,46700,47823,48220
California,10315,18020,37998,47680,68203,72535,72842
Colorado,7761,16205,30758,38163,49202,49828,50039
Connecticut,9262,16229,40461,51780,64350,71709,72013
Delaware,9015,16148,33377,44435,57080,59195,59085
District of Columbia,10285,22190,38402,47076,64548,75490,75810
Florida,8412,14149,28803,36722,46708,48992,49199
Georgia,7276,13853,28006,41023,53112,53382,54190
Hawaii,9453,19920,32047,40578,55063,57189,57431
Idaho,6890,13611,23861,35547,46283,45218,45409
Illinois,9569,17601,32794,46486,62077,61083,61342
Indiana,8833,15599,30902,41850,49986,50877,50715
Iowa,8355,15203,26747,35678,49626,53408,54416
Kansas,7612,13690,28744,34981,46657,48990,49197
Kentucky,6953,14520,26292,36380,49543,51155,51666
Louisiana,7028,13760,24300,33109,48903,47886,46733
Maine,7572,13071,26881,35561,46106,50017,50229
Maryland,9383,17558,36319,44048,63971,65477,66482
Massachusetts,8764,17253,34712,46580,69273,75398,76981
Michigan,9826,19663,37072,49044,57958,63856,63878
Minnesota,8658,15912,32190,39802,52431,56670,56910
Mississippi,5798,11850,24292,31857,45644,42564,42744
Missouri,7799,13682,27094,35656,45317,47409,47849
Montana,7606,14537,25081,32121,45759,50670,51215
Nebraska,7375,13516,25522,33237,46227,50525,51364
Nevada,9215,16295,30590,39390,51524,56703,56943
New Hampshire,7771,13017,28986,37734,51443,58554,58802
New Jersey,9130,17161,35676,52015,65130,69038,69330
New Mexico,7796,14887,24756,32554,46258,46625,47163
New York,10336,19812,38925,51020,71633,77628,77957
North Carolina,7494,14117,27883,39404,46850,47819,47985
North Dakota,6696,13263,23016,29863,42964,50025,50237
Ohio,8300,15269,31218,41436,55958,56172,56410
Oklahoma,6882,13107,23070,31298,47691,45317,44921
Oregon,8818,16266,30840,42336,55224,59811,60064
Pennsylvania,8858,16515,33338,48321,59156,64447,64991
Rhode Island,8776,18002,36057,47041,59686,65918,66197
South Carolina,6927,13063,27217,36081,47508,48486,48542
South Dakota,6403,12348,21300,29071,38837,40934,42025
Tennessee,7050,13972,27052,36328,46290,47979,48708
Texas,7255,14132,27496,37567,48261,50713,51758
Utah,7644,14909,23686,34946,45885,45848,46042
Vermont,7968,12484,29012,37758,49084,57642,58901
Virginia,8070,14060,30938,38744,50015,50620,50834
Washington,9225,18820,30457,41043,53003,52502,52539
West Virginia,7650,13710,22842,35009,45959,45783,45977
Wisconsin,8963,16006,31921,41153,51264,54535,54766
Wyoming,8232,16012,28141,34127,55861,57414,57761
