State,1969-70,1979-80,1989-90,1999-2000,2003-04,2004-05,2005-06
United States,8626,15970,31367,41807,46704,47674,49109
Alabama,6818,13060,24828,36689,38325,38186,40347
Alaska,10560,27210,43153,46462,51736,52424,53553
Arizona,8711,15054,29402,36902,41843,42905,44672
Arkansas,6307,12299,22352,33386,39314,40495,42093
California,10315,18020,37998,47680,56444,57876,59345
Colorado,7761,16205,30758,38163,43319,43949,45616
Connecticut,9262,16229,40461,51780,57337,57737,59499
Delaware,9015,16148,33377,44435,49366,50595,54264
District of Columbia,10285,22190,38402,47076,57009,58456,61195
Florida,8412,14149,28803,36722,40604,41590,43302
Georgia,7276,13853,28006,41023,45988,46526,48300
Hawaii,9453,19920,32047,40578,45479,46149,51599
Idaho,6890,13611,23861,35547,41080,42122,43390
Illinois,9569,17601,32794,46486,54230,55421,57819
Indiana,8833,15599,30902,41850,45791,46583,47255
Iowa,8355,15203,26747,35678,39432,39284,40877
Kansas,7612,13690,28744,34981,38623,39345,41369
Kentucky,6953,14520,26292,36380,40240,40522,41903
Louisiana,7028,13760,24300,33109,37918,39022,40253
Maine,7572,13071,26881,35561,39864,39610,40737
Maryland,9383,17558,36319,44048,50261,52331,54486
Massachusetts,8764,17253,34712,46580,53181,54679,56587
Michigan,9826,19663,37072,49044,54412,56973,58482
Minnesota,8658,15912,32190,39802,45375,46906,48489
Mississippi,5798,11850,24292,31857,35684,36590,37924
Missouri,7799,13682,27094,35656,38006,39067,39922
Montana,7606,14537,25081,32121,37184,38485,39832
Nebraska,7375,13516,25522,33237,38352,39456,41026
Nevada,9215,16295,30590,39390,42254,43394,44426
New Hampshire,7771,13017,28986,37734,42689,43941,45263
New Jersey,9130,17161,35676,52015,55592,56682,57707
New Mexico,7796,14887,24756,32554,38067,39391,41637
New York,10336,19812,38925,51020,55181,56200,57354
North Carolina,7494,14117,27883,39404,43211,43348,43922
North Dakota,6696,13263,23016,29863,35441,36695,37773
Ohio,8300,15269,31218,41436,47482,48692,50314
Oklahoma,6882,13107,23070,31298,35061,37879,38772
Oregon,8818,16266,30840,42336,49169,48330,48981
Pennsylvania,8858,16515,33338,48321,51835,53258,54027
Rhode Island,8776,18002,36057,47041,52261,53473,54730
South Carolina,6927,13063,27217,36081,41162,42189,43242
South Dakota,6403,12348,21300,29071,33236,34040,34709
Tennessee,7050,13972,27052,36328,40318,42076,42537
Texas,7255,14132,27496,37567,40476,41011,41744
Utah,7644,14909,23686,34946,38976,39456,40316
Vermont,7968,12484,29012,37758,42007,44535,46622
Virginia,8070,14060,30938,38744,43655,42768,43823
Washington,9225,18820,30457,41043,45434,45718,46326
West Virginia,7650,13710,22842,35009,38461,38360,38284
Wisconsin,8963,16006,31921,41153,42882,44299,46390
Wyoming,8232,16012,28141,34127,39532,40497,43225
