State,1969-70,1979-80,1989-90,1999-2000,2002-03,2003-04,2004-05
United States,8626,15970,31367,41807,45776,46752,47750
Alabama,6818,13060,24828,36689,38246,38325,38863
Alaska,10560,27210,43153,46462,49685,51736,52424
Arizona,8711,15054,29402,36902,40894,41843,42905
Arkansas,6307,12299,22352,33386,37753,39314,40495
California,10315,18020,37998,47680,56283,56444,57876
Colorado,7761,16205,30758,38163,41275,43319,44161
Connecticut,9262,16229,40461,51780,54362,57337,58688
Delaware,9015,16148,33377,44435,50772,49366,50869
District of Columbia,10285,22190,38402,47076,50763,57009,58456
Florida,8412,14149,28803,36722,39465,40604,41081
Georgia,7276,13853,28006,41023,45533,45988,46526
Hawaii,9453,19920,32047,40578,44464,45479,44273
Idaho,6890,13611,23861,35547,40148,41080,42122
Illinois,9569,17601,32794,46486,51289,54230,55629
Indiana,8833,15599,30902,41850,45097,45791,46851
Iowa,8355,15203,26747,35678,38921,39432,40347
Kansas,7612,13690,28744,34981,38123,38623,39190
Kentucky,6953,14520,26292,36380,38981,40240,41002
Louisiana,7028,13760,24300,33109,36878,37918,38880
Maine,7572,13071,26881,35561,38121,39864,40940
Maryland,9383,17558,36319,44048,49677,50261,52331
Massachusetts,8764,17253,34712,46580,52043,53181,54596
Michigan,9826,19663,37072,49044,54071,54412,55693
Minnesota,8658,15912,32190,39802,42833,45375,46906
Mississippi,5798,11850,24292,31857,34555,35684,36590
Missouri,7799,13682,27094,35656,38826,38006,38971
Montana,7606,14537,25081,32121,35754,37184,38485
Nebraska,7375,13516,25522,33237,37896,38352,39456
Nevada,9215,16295,30590,39390,41795,42254,43394
New Hampshire,7771,13017,28986,37734,40519,42689,43941
New Jersey,9130,17161,35676,52015,54166,55592,56600
New Mexico,7796,14887,24756,32554,36687,38067,39328
New York,10336,19812,38925,51020,52600,55181,56200
North Carolina,7494,14117,27883,39404,43076,43211,43313
North Dakota,6696,13263,23016,29863,33210,35441,36449
Ohio,8300,15269,31218,41436,45452,47482,48692
Oklahoma,6882,13107,23070,31298,34854,35061,37141
Oregon,8818,16266,30840,42336,47600,49169,50790
Pennsylvania,8858,16515,33338,48321,51800,51835,52700
Rhode Island,8776,18002,36057,47041,51076,52261,53473
South Carolina,6927,13063,27217,36081,41279,41162,42207
South Dakota,6403,12348,21300,29071,32416,33236,34040
Tennessee,7050,13972,27052,36328,39677,40318,41527
Texas,7255,14132,27496,37567,40001,40476,41009
Utah,7644,14909,23686,34946,38413,38976,39965
Vermont,7968,12484,29012,37758,41603,42007,44535
Virginia,8070,14060,30938,38744,43152,43655,44763
Washington,9225,18820,30457,41043,44949,45434,45712
West Virginia,7650,13710,22842,35009,38508,38461,38360
Wisconsin,8963,16006,31921,41153,42871,42882,43466
Wyoming,8232,16012,28141,34127,37876,39532,40392
