State,1969-70,1979-80,1989-90,1999-2000,2009-10,2016-17,2017-18
United States,8626,15970,31367,41807,55280,59660,60483
Alabama,6818,13060,24828,36689,47571,50391,50239
Alaska,10560,27210,43153,46462,59672,68138,69474
Arizona,8711,15054,29402,36902,46952,47403,47746
Arkansas,6307,12299,22352,33386,46700,48304,49017
California,10315,18020,37998,47680,68203,79128,81126
Colorado,7761,16205,30758,38163,49202,51808,52389
Connecticut,9262,16229,40461,51780,64350,73147,73113
Delaware,9015,16148,33377,44435,57080,60214,60484
District of Columbia,10285,22190,38402,47076,64548,75692,76486
Florida,8412,14149,28803,36722,46708,47267,47721
Georgia,7276,13853,28006,41023,53112,55532,56329
Hawaii,9453,19920,32047,40578,55063,56651,57866
Idaho,6890,13611,23861,35547,46283,47504,49225
Illinois,9569,17601,32794,46486,62077,64933,65776
Indiana,8833,15599,30902,41850,49986,54308,54846
Iowa,8355,15203,26747,35678,49626,55647,56790
Kansas,7612,13690,28744,34981,46657,49422,50403
Kentucky,6953,14520,26292,36380,49543,52338,52952
Louisiana,7028,13760,24300,33109,48903,50000,50256
Maine,7572,13071,26881,35561,46106,51077,51663
Maryland,9383,17558,36319,44048,63971,68357,69761
Massachusetts,8764,17253,34712,46580,69273,78100,79710
Michigan,9826,19663,37072,49044,57958,62287,62702
Minnesota,8658,15912,32190,39802,52431,57346,57782
Mississippi,5798,11850,24292,31857,45644,42925,43107
Missouri,7799,13682,27094,35656,45317,48618,49208
Montana,7606,14537,25081,32121,45759,51422,52776
Nebraska,7375,13516,25522,33237,46227,52338,53473
Nevada,9215,16295,30590,39390,51524,57376,57812
New Hampshire,7771,13017,28986,37734,51443,57522,57833
New Jersey,9130,17161,35676,52015,65130,69623,69917
New Mexico,7796,14887,24756,32554,46258,47122,47839
New York,10336,19812,38925,51020,71633,81902,83585
North Carolina,7494,14117,27883,39404,46850,49970,50861
North Dakota,6696,13263,23016,29863,42964,52968,54421
Ohio,8300,15269,31218,41436,55958,58202,58000
Oklahoma,6882,13107,23070,31298,47691,45292,45678
Oregon,8818,16266,30840,42336,55224,61862,63143
Pennsylvania,8858,16515,33338,48321,59156,66265,67398
Rhode Island,8776,18002,36057,47041,59686,66477,66758
South Carolina,6927,13063,27217,36081,47508,50000,51027
South Dakota,6403,12348,21300,29071,38837,46979,47944
Tennessee,7050,13972,27052,36328,46290,50099,50900
Texas,7255,14132,27496,37567,48261,52575,53167
Utah,7644,14909,23686,34946,45885,47244,47604
Vermont,7968,12484,29012,37758,49084,57349,58527
Virginia,8070,14060,30938,38744,50015,51049,51265
Washington,9225,18820,30457,41043,53003,54433,55175
West Virginia,7650,13710,22842,35009,45959,45555,45642
Wisconsin,8963,16006,31921,41153,51264,54998,55895
Wyoming,8232,16012,28141,34127,55861,58187,58578
