State,1969-70,1979-80,1989-90,1993-94,1994-95,1995-96,1996-97
United States,8626,15970,31367,35733,36609,37560,38509
Alabama,6818,13060,24828,28705,31144,31313,32549
Alaska,10560,27210,43153,47512,47951,49620,50647
Arizona,8711,15054,29402,31800,32175,32484,33350
Arkansas,6307,12299,22352,28098,28934,29322,29975
California,10315,18020,37998,40264,41078,42259,43474
Colorado,7761,16205,30758,33826,34571,35364,36175
Connecticut,9262,16229,40461,49769,50045,50254,50426
Delaware,9015,16148,33377,37469,39076,40533,41436
District of Columbia,10285,22190,38402,42543,43700,43700,45012
Florida,8412,14149,28803,31944,32588,33330,33881
Georgia,7276,13853,28006,30712,32291,34002,36042
Hawaii,9453,19920,32047,36564,38518,35807,35842
Idaho,6890,13611,23861,27756,29783,30891,31818
Illinois,9569,17601,32794,39387,39431,40919,42679
Indiana,8833,15599,30902,35712,36785,37675,38575
Iowa,8355,15203,26747,30760,31511,32372,33275
Kansas,7612,13690,28744,33914,34652,35134,35837
Kentucky,6953,14520,26292,31625,32257,33080,33950
Louisiana,7028,13760,24300,26095,26461,26800,28347
Maine,7572,13071,26881,30996,31972,32869,33800
Maryland,9383,17558,36319,39453,40661,41160,41148
Massachusetts,8764,17253,34712,39023,40795,42264,43806
Michigan,9826,19663,37072,44856,41895,44796,44251
Minnesota,8658,15912,32190,35440,35948,36937,37975
Mississippi,5798,11850,24292,25153,26818,27692,27720
Missouri,7799,13682,27094,30319,31189,33341,34342
Montana,7606,14537,25081,28200,28785,29364,29950
Nebraska,7375,13516,25522,29564,30922,31496,31768
Nevada,9215,16295,30590,33955,34836,36167,37340
New Hampshire,7771,13017,28986,34121,34720,35792,36867
New Jersey,9130,17161,35676,44693,46087,47910,49349
New Mexico,7796,14887,24756,27202,28493,29074,29715
New York,10336,19812,38925,45772,47612,48115,49560
North Carolina,7494,14117,27883,29728,30793,30411,31225
North Dakota,6696,13263,23016,25506,26327,26969,27711
Ohio,8300,15269,31218,35673,36802,37835,38831
Oklahoma,6882,13107,23070,27009,28172,28404,29270
Oregon,8818,16266,30840,37713,38555,39706,40900
Pennsylvania,8858,16515,33338,42411,44510,46087,47429
Rhode Island,8776,18002,36057,39261,40729,42160,43019
South Carolina,6927,13063,27217,29566,30279,31622,32659
South Dakota,6403,12348,21300,25259,25994,26346,26764
Tennessee,7050,13972,27052,30514,32477,33126,33789
Texas,7255,14132,27496,30529,31223,32000,32644
Utah,7644,14909,23686,27706,29082,30588,31750
Vermont,7968,12484,29012,34517,35406,36295,37200
Virginia,8070,14060,30938,33009,33987,34792,35837
Washington,9225,18820,30457,35863,36151,37853,37860
West Virginia,7650,13710,22842,30549,31944,32155,33159
Wisconsin,8963,16006,31921,35990,37746,38182,38950
Wyoming,8232,16012,28141,30952,31285,31571,31721
