State,1969-70,1979-80,1989-90,1995-96,1998-99,1999-2000,2000-01
United States,8626,15970,31367,37642,40580,41724,42898
Alabama,6818,13060,24828,31313,35820,36689,37956
Alaska,10560,27210,43153,49620,46845,47262,46986
Arizona,8711,15054,29402,32483,35025,35650,36302
Arkansas,6307,12299,22352,29533,32330,33386,34476
California,10315,18020,37998,42259,46129,47680,48923
Colorado,7761,16205,30758,35364,38157,38163,39284
Connecticut,9262,16229,40461,50254,51424,51780,52100
Delaware,9015,16148,33377,40533,43164,44435,47047
District of Columbia,10285,22190,38402,43700,47076,47076,48651
Florida,8412,14149,28803,33330,35916,36722,37824
Georgia,7276,13853,28006,34002,39675,41023,42216
Hawaii,9453,19920,32047,35807,39871,40578,41980
Idaho,6890,13611,23861,30892,34063,35162,36375
Illinois,9569,17601,32794,40919,45269,46486,48053
Indiana,8833,15599,30902,37675,41159,41850,43055
Iowa,8355,15203,26747,32372,34998,35678,36479
Kansas,7612,13690,28744,32382,37506,38453,39432
Kentucky,6953,14520,26292,33080,35526,36380,37234
Louisiana,7028,13760,24300,27530,32384,33109,34253
Maine,7572,13071,26881,32869,34906,35561,36256
Maryland,9383,17558,36319,41160,43112,44048,44997
Massachusetts,8764,17253,34712,41408,45075,46250,47523
Michigan,9826,19663,37072,46832,47448,48695,49975
Minnesota,8658,15912,32190,36922,39458,39802,40577
Mississippi,5798,11850,24292,27692,29530,31857,32957
Missouri,7799,13682,27094,32322,34807,35656,36764
Montana,7606,14537,25081,29364,31354,32121,32930
Nebraska,7375,13516,25522,31496,32880,33284,34175
Nevada,9215,16295,30590,36167,38883,39390,40172
New Hampshire,7771,13017,28986,35792,37405,37734,38303
New Jersey,9130,17161,35676,48751,51193,52174,53281
New Mexico,7796,14887,24756,29074,32398,32554,33785
New York,10336,19812,38925,48115,49437,50173,50920
North Carolina,7494,14117,27883,30411,36883,39419,41167
North Dakota,6696,13263,23016,26969,28976,29863,30891
Ohio,8300,15269,31218,37835,40561,41436,42716
Oklahoma,6882,13107,23070,28404,31115,31298,34434
Oregon,8818,16266,30840,39706,42833,40919,42333
Pennsylvania,8858,16515,33338,46087,48457,48321,49500
Rhode Island,8776,18002,36057,41765,45650,47041,48474
South Carolina,6927,13063,27217,31622,34506,36081,37327
South Dakota,6403,12348,21300,26346,28552,29072,30265
Tennessee,7050,13972,27052,33126,35490,36328,37074
Texas,7255,14132,27496,31400,34337,37567,38614
Utah,7644,14909,23686,30588,34070,34946,36049
Vermont,7968,12484,29012,36295,36800,37714,38651
Virginia,8070,14060,30938,34792,37266,38123,40197
Washington,9225,18820,30457,37853,38687,41013,42101
West Virginia,7650,13710,22842,32155,34244,35008,35764
Wisconsin,8963,16006,31921,38182,40657,41153,41646
Wyoming,8232,16012,28141,31571,33500,34140,34189
