State,1969-70,1979-80,1989-90,1992-93,1993-94,1994-95,1995-96
United States,8626,15970,31367,35029,35819,36802,37846
Alabama,6818,13060,24828,26953,28705,31144,31307
Alaska,10560,27210,43153,46701,47512,47951,49620
Arizona,8711,15054,29402,31352,31800,32175,32484
Arkansas,6307,12299,22352,27433,28098,28934,29322
California,10315,18020,37998,40035,40264,41078,42516
Colorado,7761,16205,30758,33541,33826,34571,35364
Connecticut,9262,16229,40461,48343,49769,50045,50400
Delaware,9015,16148,33377,36217,37469,39076,40533
District of Columbia,10285,22190,38402,38702,42543,43700,43700
Florida,8412,14149,28803,31172,31944,32588,33320
Georgia,7276,13853,28006,30223,30712,32633,34307
Hawaii,9453,19920,32047,36470,36564,38518,35807
Idaho,6890,13611,23861,27011,27756,29783,30891
Illinois,9569,17601,32794,38632,39387,39431,41008
Indiana,8833,15599,30902,35066,35712,36785,37805
Iowa,8355,15203,26747,30130,30760,31511,32376
Kansas,7612,13690,28744,32863,33919,34652,35518
Kentucky,6953,14520,26292,31115,31625,32257,33018
Louisiana,7028,13760,24300,26102,26285,26461,26800
Maine,7572,13071,26881,30250,30996,31972,32869
Maryland,9383,17558,36319,38753,39453,40661,41215
Massachusetts,8764,17253,34712,38774,40852,42174,43756
Michigan,9826,19663,37072,43901,45186,47360,49168
Minnesota,8658,15912,32190,35093,36146,35948,36937
Mississippi,5798,11850,24292,24367,25153,26818,27689
Missouri,7799,13682,27094,29382,30310,31189,33341
Montana,7606,14537,25081,27617,28200,28785,29364
Nebraska,7375,13516,25522,28768,29564,30922,31496
Nevada,9215,16295,30590,34119,33955,34836,36167
New Hampshire,7771,13017,28986,33931,34121,34720,35792
New Jersey,9130,17161,35676,42680,44693,46087,47910
New Mexico,7796,14887,24756,26532,27922,28491,29349
New York,10336,19812,38925,44999,45772,47612,48115
North Carolina,7494,14117,27883,29315,29728,30793,30564
North Dakota,6696,13263,23016,25211,25506,26327,26969
Ohio,8300,15269,31218,34519,35678,36802,37835
Oklahoma,6882,13107,23070,25918,27009,28172,28909
Oregon,8818,16266,30840,35880,37590,38590,39650
Pennsylvania,8858,16515,33338,41215,42411,44510,46916
Rhode Island,8776,18002,36057,37933,39261,40729,42160
South Carolina,6927,13063,27217,29224,29566,30279,31568
South Dakota,6403,12348,21300,24289,25259,25994,26346
Tennessee,7050,13972,27052,28960,30514,32477,33451
Texas,7255,14132,27496,29935,30519,31223,32000
Utah,7644,14909,23686,27239,27706,29082,30452
Vermont,7968,12484,29012,34824,34517,35406,36295
Virginia,8070,14060,30938,33212,33009,33998,34687
Washington,9225,18820,30457,35759,35863,36151,38025
West Virginia,7650,13710,22842,30301,30549,31944,32155
Wisconsin,8963,16006,31921,35926,35990,37746,38571
Wyoming,8232,16012,28141,30080,30952,31285,31571
