State,1969-70,1979-80,1989-90,1999-2000,2005-06,2007-08,2008-09
United States,8626,15970,31367,41807,48804,52308,53910
Alabama,6818,13060,24828,36689,40347,46604,48906
Alaska,10560,27210,43153,46462,53553,56758,58916
Arizona,8711,15054,29402,36902,44672,45772,47937
Arkansas,6307,12299,22352,33386,42768,45773,47472
California,10315,18020,37998,47680,59825,64424,66986
Colorado,7761,16205,30758,38163,44439,47248,48707
Connecticut,9262,16229,40461,51780,59304,61976,63976
Delaware,9015,16148,33377,44435,54264,55994,55994
District of Columbia,10285,22190,38402,47076,59000,60628,62557
Florida,8412,14149,28803,36722,43302,46930,48126
Georgia,7276,13853,28006,41023,48300,51560,53270
Hawaii,9453,19920,32047,40578,49292,53400,55733
Idaho,6890,13611,23861,35547,41150,44099,45439
Illinois,9569,17601,32794,46486,58686,60474,62787
Indiana,8833,15599,30902,41850,47255,48508,49198
Iowa,8355,15203,26747,35678,41083,46664,48969
Kansas,7612,13690,28744,34981,41467,45136,46987
Kentucky,6953,14520,26292,36380,42592,47207,49539
Louisiana,7028,13760,24300,33109,40029,46964,49284
Maine,7572,13071,26881,35561,40737,43397,44731
Maryland,9383,17558,36319,44048,54333,60069,60844
Massachusetts,8764,17253,34712,46580,56369,60471,62769
Michigan,9826,19663,37072,49044,54739,56096,57327
Minnesota,8658,15912,32190,39802,48489,50582,51938
Mississippi,5798,11850,24292,31857,40576,42403,44498
Missouri,7799,13682,27094,35656,40462,43206,44712
Montana,7606,14537,25081,32121,39832,42874,44426
Nebraska,7375,13516,25522,33237,40382,42885,44120
Nevada,9215,16295,30590,39390,44426,47710,50067
New Hampshire,7771,13017,28986,37734,45263,47609,48934
New Jersey,9130,17161,35676,52015,58156,61277,63018
New Mexico,7796,14887,24756,32554,41637,45112,47341
New York,10336,19812,38925,51020,57354,62332,65234
North Carolina,7494,14117,27883,39404,43922,47354,48603
North Dakota,6696,13263,23016,29863,37764,40279,41534
Ohio,8300,15269,31218,41436,50314,53410,54925
Oklahoma,6882,13107,23070,31298,38772,43551,45702
Oregon,8818,16266,30840,42336,50044,51811,52950
Pennsylvania,8858,16515,33338,48321,54027,55833,56906
Rhode Island,8776,18002,36057,47041,54730,57168,58491
South Carolina,6927,13063,27217,36081,43011,45758,47704
South Dakota,6403,12348,21300,29071,34709,36674,38017
Tennessee,7050,13972,27052,36328,42537,45030,46278
Texas,7255,14132,27496,37567,41744,46179,46179
Utah,7644,14909,23686,34946,40007,41615,42335
Vermont,7968,12484,29012,37758,46622,46593,47697
Virginia,8070,14060,30938,38744,43823,46796,48554
Washington,9225,18820,30457,41043,46326,49884,51970
West Virginia,7650,13710,22842,35009,38284,42529,44625
Wisconsin,8963,16006,31921,41153,46390,49051,50424
Wyoming,8232,16012,28141,34127,43225,53074,55696
