State,1969-70,1979-80,1989-90,1999-2000,2004-05,2009-10,2010-11
United States,8626,15970,31367,41807,47516,55202,56069
Alabama,6818,13060,24828,36689,38186,47571,48282
Alaska,10560,27210,43153,46462,52424,59672,61093
Arizona,8711,15054,29402,36902,42905,46952,47553
Arkansas,6307,12299,22352,33386,40495,46700,47700
California,10315,18020,37998,47680,57876,68203,69434
Colorado,7761,16205,30758,38163,43949,49202,49938
Connecticut,9262,16229,40461,51780,57737,64350,65571
Delaware,9015,16148,33377,44435,50595,57080,57934
District of Columbia,10285,22190,38402,47076,58456,64548,66601
Florida,8412,14149,28803,36722,41590,46708,46702
Georgia,7276,13853,28006,41023,46526,53112,53906
Hawaii,9453,19920,32047,40578,46149,55063,55063
Idaho,6890,13611,23861,35547,42122,46283,47416
Illinois,9569,17601,32794,46486,55421,62077,63005
Indiana,8833,15599,30902,41850,46583,49986,50407
Iowa,8355,15203,26747,35678,39284,49626,50634
Kansas,7612,13690,28744,34981,39345,46657,47080
Kentucky,6953,14520,26292,36380,40522,49543,50038
Louisiana,7028,13760,24300,33109,39022,48903,49634
Maine,7572,13071,26881,35561,39610,46106,47182
Maryland,9383,17558,36319,44048,52331,63971,65113
Massachusetts,8764,17253,34712,46580,54679,69273,71017
Michigan,9826,19663,37072,49044,56973,57958,58595
Minnesota,8658,15912,32190,39802,46906,52431,53215
Mississippi,5798,11850,24292,31857,36590,45644,46818
Missouri,7799,13682,27094,35656,39067,45317,46411
Montana,7606,14537,25081,32121,38485,45759,47132
Nebraska,7375,13516,25522,33237,39456,46227,47521
Nevada,9215,16295,30590,39390,43394,51524,53023
New Hampshire,7771,13017,28986,37734,43941,51443,52792
New Jersey,9130,17161,35676,52015,56682,65130,66985
New Mexico,7796,14887,24756,32554,39391,46258,46950
New York,10336,19812,38925,51020,56200,71633,72708
North Carolina,7494,14117,27883,39404,43348,46850,46850
North Dakota,6696,13263,23016,29863,36695,42964,44266
Ohio,8300,15269,31218,41436,48692,55958,57291
Oklahoma,6882,13107,23070,31298,37879,47691,49039
Oregon,8818,16266,30840,42336,48330,55224,56387
Pennsylvania,8858,16515,33338,48321,53258,59156,60536
Rhode Island,8776,18002,36057,47041,53473,59686,60923
South Carolina,6927,13063,27217,36081,42189,47508,49434
South Dakota,6403,12348,21300,29071,34040,38837,35201
Tennessee,7050,13972,27052,36328,42076,46290,47043
Texas,7255,14132,27496,37567,41011,48261,48261
Utah,7644,14909,23686,34946,39456,45885,46571
Vermont,7968,12484,29012,37758,44535,49084,50141
Virginia,8070,14060,30938,38744,42768,50015,51559
Washington,9225,18820,30457,41043,45718,53003,53796
West Virginia,7650,13710,22842,35009,38360,45959,47253
Wisconsin,8963,16006,31921,41153,44299,51264,52031
Wyoming,8232,16012,28141,34127,40497,55861,56978
