State,1969-70,1979-80,1989-90,1995-96,1999-2000,2000-01,2001-02
United States,8626,15970,31367,37642,41754,43335,44604
Alabama,6818,13060,24828,31313,36689,37956,39268
Alaska,10560,27210,43153,49620,46462,48123,49418
Arizona,8711,15054,29402,32483,35650,36302,36966
Arkansas,6307,12299,22352,29533,33386,34641,35389
California,10315,18020,37998,42259,47680,52480,53870
Colorado,7761,16205,30758,35364,38163,39184,40222
Connecticut,9262,16229,40461,50254,51780,52693,54300
Delaware,9015,16148,33377,40533,44435,47047,48363
District of Columbia,10285,22190,38402,43700,47076,48704,47049
Florida,8412,14149,28803,33330,36722,38230,38719
Georgia,7276,13853,28006,34002,41023,42216,44073
Hawaii,9453,19920,32047,35807,40578,40052,41951
Idaho,6890,13611,23861,30892,35162,36375,37482
Illinois,9569,17601,32794,40919,46486,47847,50000
Indiana,8833,15599,30902,37675,41850,43311,44195
Iowa,8355,15203,26747,32372,35678,36479,38230
Kansas,7612,13690,28744,32382,34981,35901,36673
Kentucky,6953,14520,26292,33080,36380,36589,37847
Louisiana,7028,13760,24300,27530,33109,33615,35437
Maine,7572,13071,26881,32869,35561,36373,37100
Maryland,9383,17558,36319,41160,44048,45963,46200
Massachusetts,8764,17253,34712,41760,46580,48649,50293
Michigan,9826,19663,37072,46832,49044,50694,52037
Minnesota,8658,15912,32190,36922,39802,42212,43330
Mississippi,5798,11850,24292,27692,31857,31954,32800
Missouri,7799,13682,27094,32322,35656,36722,37695
Montana,7606,14537,25081,29364,32121,33249,34379
Nebraska,7375,13516,25522,31496,33237,34175,36236
Nevada,9215,16295,30590,36167,39390,40443,41524
New Hampshire,7771,13017,28986,35792,37734,38301,38911
New Jersey,9130,17161,35676,48751,52174,53281,54575
New Mexico,7796,14887,24756,29074,32554,33785,36490
New York,10336,19812,38925,48115,51020,52040,53081
North Carolina,7494,14117,27883,30411,39419,41151,42959
North Dakota,6696,13263,23016,26969,29863,30891,31709
Ohio,8300,15269,31218,37835,41436,42764,44492
Oklahoma,6882,13107,23070,28404,31298,34499,35412
Oregon,8818,16266,30840,39706,40919,41711,43886
Pennsylvania,8858,16515,33338,46087,48321,49528,50599
Rhode Island,8776,18002,36057,41765,47041,48474,49758
South Carolina,6927,13063,27217,31622,36081,37938,38943
South Dakota,6403,12348,21300,26346,29071,30265,31295
Tennessee,7050,13972,27052,33126,36328,37431,38554
Texas,7255,14132,27496,31400,37567,38361,39293
Utah,7644,14909,23686,30588,34946,36441,37414
Vermont,7968,12484,29012,36295,37714,38254,38802
Virginia,8070,14060,30938,34792,38744,40197,41262
Washington,9225,18820,30457,37853,41043,42137,43483
West Virginia,7650,13710,22842,32155,35009,35888,36751
Wisconsin,8963,16006,31921,38182,41153,42122,43114
Wyoming,8232,16012,28141,31571,34127,34678,37841
