State,1969-70,1979-80,1989-90,1999-2000,2009-10,2010-11,2011-12
United States,8626,15970,31367,41807,55202,55623,56643
Alabama,6818,13060,24828,36689,47571,47803,48003
Alaska,10560,27210,43153,46462,59672,62918,62425
Arizona,8711,15054,29402,36902,46952,47553,48691
Arkansas,6307,12299,22352,33386,46700,46500,46959
California,10315,18020,37998,47680,68203,67871,69496
Colorado,7761,16205,30758,38163,49202,49228,50407
Connecticut,9262,16229,40461,51780,64350,69165,70821
Delaware,9015,16148,33377,44435,57080,57934,58800
District of Columbia,10285,22190,38402,47076,64548,66601,68720
Florida,8412,14149,28803,36722,46708,45732,46232
Georgia,7276,13853,28006,41023,53112,52815,52938
Hawaii,9453,19920,32047,40578,55063,55063,54268
Idaho,6890,13611,23861,35547,46283,47416,48551
Illinois,9569,17601,32794,46486,62077,64509,66053
Indiana,8833,15599,30902,41850,49986,50801,51629
Iowa,8355,15203,26747,35678,49626,49844,51037
Kansas,7612,13690,28744,34981,46657,46598,46718
Kentucky,6953,14520,26292,36380,49543,48908,49730
Louisiana,7028,13760,24300,33109,48903,49006,50179
Maine,7572,13071,26881,35561,46106,47182,48283
Maryland,9383,17558,36319,44048,63971,63960,63634
Massachusetts,8764,17253,34712,46580,69273,70752,72000
Michigan,9826,19663,37072,49044,57958,63940,64879
Minnesota,8658,15912,32190,39802,52431,53680,54959
Mississippi,5798,11850,24292,31857,45644,41975,41646
Missouri,7799,13682,27094,35656,45317,45321,46406
Montana,7606,14537,25081,32121,45759,47132,48546
Nebraska,7375,13516,25522,33237,46227,47368,48718
Nevada,9215,16295,30590,39390,51524,53023,54559
New Hampshire,7771,13017,28986,37734,51443,52792,54177
New Jersey,9130,17161,35676,52015,65130,66612,68207
New Mexico,7796,14887,24756,32554,46258,46888,48011
New York,10336,19812,38925,51020,71633,72708,74449
North Carolina,7494,14117,27883,39404,46850,46605,46605
North Dakota,6696,13263,23016,29863,42964,44807,46058
Ohio,8300,15269,31218,41436,55958,56715,57528
Oklahoma,6882,13107,23070,31298,47691,44343,44156
Oregon,8818,16266,30840,42336,55224,56503,57348
Pennsylvania,8858,16515,33338,48321,59156,60760,62215
Rhode Island,8776,18002,36057,47041,59686,60923,62186
South Carolina,6927,13063,27217,36081,47508,47050,48176
South Dakota,6403,12348,21300,29071,38837,39850,39850
Tennessee,7050,13972,27052,36328,46290,45891,46613
Texas,7255,14132,27496,37567,48261,48638,49017
Utah,7644,14909,23686,34946,45885,47033,48159
Vermont,7968,12484,29012,37758,49084,50141,51306
Virginia,8070,14060,30938,38744,50015,48761,49560
Washington,9225,18820,30457,41043,53003,52926,54193
West Virginia,7650,13710,22842,35009,45959,44260,45320
Wisconsin,8963,16006,31921,41153,51264,54195,55492
Wyoming,8232,16012,28141,34127,55861,56100,57222
