State,1969-70,1979-80,1989-90,1999-2000,2009-10,2013-14,2014-15
United States,8626,15970,31367,41807,55202,56610,57379
Alabama,6818,13060,24828,36689,47571,48720,49497
Alaska,10560,27210,43153,46462,59672,65891,66755
Arizona,8711,15054,29402,36902,46952,45335,45406
Arkansas,6307,12299,22352,33386,46700,47319,48017
California,10315,18020,37998,47680,68203,71396,72535
Colorado,7761,16205,30758,38163,49202,49615,49828
Connecticut,9262,16229,40461,51780,64350,70583,71709
Delaware,9015,16148,33377,44435,57080,59305,59195
District of Columbia,10285,22190,38402,47076,64548,73162,75490
Florida,8412,14149,28803,36722,46708,47780,48992
Georgia,7276,13853,28006,41023,53112,52924,53382
Hawaii,9453,19920,32047,40578,55063,56291,57189
Idaho,6890,13611,23861,35547,46283,44465,45218
Illinois,9569,17601,32794,46486,62077,60124,61083
Indiana,8833,15599,30902,41850,49986,50289,50502
Iowa,8355,15203,26747,35678,49626,52032,52862
Kansas,7612,13690,28744,34981,46657,48221,48990
Kentucky,6953,14520,26292,36380,49543,50560,51093
Louisiana,7028,13760,24300,33109,48903,49067,47886
Maine,7572,13071,26881,35561,46106,49232,50017
Maryland,9383,17558,36319,44048,63971,64546,64845
Massachusetts,8764,17253,34712,46580,69273,73195,74805
Michigan,9826,19663,37072,49044,57958,62166,62778
Minnesota,8658,15912,32190,39802,52431,54752,56670
Mississippi,5798,11850,24292,31857,45644,42187,42564
Missouri,7799,13682,27094,35656,45317,46750,47394
Montana,7606,14537,25081,32121,45759,49893,50999
Nebraska,7375,13516,25522,33237,46227,49539,50318
Nevada,9215,16295,30590,39390,51524,55813,56703
New Hampshire,7771,13017,28986,37734,51443,57057,58554
New Jersey,9130,17161,35676,52015,65130,68238,69038
New Mexico,7796,14887,24756,32554,46258,45727,46003
New York,10336,19812,38925,51020,71633,76409,77628
North Carolina,7494,14117,27883,39404,46850,44990,47783
North Dakota,6696,13263,23016,29863,42964,48666,50025
Ohio,8300,15269,31218,41436,55958,55913,56172
Oklahoma,6882,13107,23070,31298,47691,44549,44628
Oregon,8818,16266,30840,42336,55224,58638,59811
Pennsylvania,8858,16515,33338,48321,59156,63701,64717
Rhode Island,8776,18002,36057,47041,59686,64696,65918
South Carolina,6927,13063,27217,36081,47508,48430,48709
South Dakota,6403,12348,21300,29071,38837,40023,40661
Tennessee,7050,13972,27052,36328,46290,47742,48503
Texas,7255,14132,27496,37567,48261,49690,50576
Utah,7644,14909,23686,34946,45885,45695,45848
Vermont,7968,12484,29012,37758,49084,55958,57642
Virginia,8070,14060,30938,38744,50015,49826,50620
Washington,9225,18820,30457,41043,53003,52969,53714
West Virginia,7650,13710,22842,35009,45959,45086,45647
Wisconsin,8963,16006,31921,41153,51264,53679,54535
Wyoming,8232,16012,28141,34127,55861,56583,57715
