State,1969-70,1979-80,1989-90,1999-2000,2009-10,2011-12,2012-13
United States,8626,15970,31367,41807,55202,55418,56383
Alabama,6818,13060,24828,36689,47571,48003,47949
Alaska,10560,27210,43153,46462,59672,62425,65468
Arizona,8711,15054,29402,36902,46952,48691,49885
Arkansas,6307,12299,22352,33386,46700,46314,46632
California,10315,18020,37998,47680,68203,68531,69324
Colorado,7761,16205,30758,38163,49202,49049,49844
Connecticut,9262,16229,40461,51780,64350,69465,69766
Delaware,9015,16148,33377,44435,57080,58800,59679
District of Columbia,10285,22190,38402,47076,64548,68720,70906
Florida,8412,14149,28803,36722,46708,46479,46944
Georgia,7276,13853,28006,41023,53112,52938,52880
Hawaii,9453,19920,32047,40578,55063,54070,54300
Idaho,6890,13611,23861,35547,46283,48551,49734
Illinois,9569,17601,32794,46486,62077,57636,59113
Indiana,8833,15599,30902,41850,49986,50516,51456
Iowa,8355,15203,26747,35678,49626,50240,51528
Kansas,7612,13690,28744,34981,46657,46718,47464
Kentucky,6953,14520,26292,36380,49543,49730,50326
Louisiana,7028,13760,24300,33109,48903,50179,51381
Maine,7572,13071,26881,35561,46106,47338,48119
Maryland,9383,17558,36319,44048,63971,63634,65265
Massachusetts,8764,17253,34712,46580,69273,71721,73129
Michigan,9826,19663,37072,49044,57958,61560,61560
Minnesota,8658,15912,32190,39802,52431,54959,56268
Mississippi,5798,11850,24292,31857,45644,41646,41994
Missouri,7799,13682,27094,35656,45317,46406,47517
Montana,7606,14537,25081,32121,45759,48546,49999
Nebraska,7375,13516,25522,33237,46227,48154,48931
Nevada,9215,16295,30590,39390,51524,54559,55957
New Hampshire,7771,13017,28986,37734,51443,54177,55599
New Jersey,9130,17161,35676,52015,65130,67078,68797
New Mexico,7796,14887,24756,32554,46258,45622,46573
New York,10336,19812,38925,51020,71633,73398,75279
North Carolina,7494,14117,27883,39404,46850,45947,45947
North Dakota,6696,13263,23016,29863,42964,46058,47344
Ohio,8300,15269,31218,41436,55958,56715,58092
Oklahoma,6882,13107,23070,31298,47691,44391,44128
Oregon,8818,16266,30840,42336,55224,57348,58758
Pennsylvania,8858,16515,33338,48321,59156,61934,63521
Rhode Island,8776,18002,36057,47041,59686,62186,63474
South Carolina,6927,13063,27217,36081,47508,47428,47924
South Dakota,6403,12348,21300,29071,38837,38804,39580
Tennessee,7050,13972,27052,36328,46290,47082,48289
Texas,7255,14132,27496,37567,48261,48373,48110
Utah,7644,14909,23686,34946,45885,48159,49393
Vermont,7968,12484,29012,37758,49084,51306,52526
Virginia,8070,14060,30938,38744,50015,48703,49869
Washington,9225,18820,30457,41043,53003,52232,53571
West Virginia,7650,13710,22842,35009,45959,45320,46405
Wisconsin,8963,16006,31921,41153,51264,53792,55171
Wyoming,8232,16012,28141,34127,55861,57222,57920
