State,1969-70,1979-80,1989-90,1999-2000,2004-05,2008-09,2009-10
United States,8626,15970,31367,41807,47516,54319,55350
Alabama,6818,13060,24828,36689,38186,46879,47156
Alaska,10560,27210,43153,46462,52424,58395,59729
Arizona,8711,15054,29402,36902,42905,46358,46952
Arkansas,6307,12299,22352,33386,40495,47472,49051
California,10315,18020,37998,47680,57876,68093,70458
Colorado,7761,16205,30758,38163,43949,48487,49505
Connecticut,9262,16229,40461,51780,57737,63152,64350
Delaware,9015,16148,33377,44435,50595,56667,57080
District of Columbia,10285,22190,38402,47076,58456,62557,64548
Florida,8412,14149,28803,36722,41590,46921,46912
Georgia,7276,13853,28006,41023,46526,52879,54274
Hawaii,9453,19920,32047,40578,46149,55733,58168
Idaho,6890,13611,23861,35547,42122,45178,46283
Illinois,9569,17601,32794,46486,55421,61344,62077
Indiana,8833,15599,30902,41850,46583,49569,49986
Iowa,8355,15203,26747,35678,39284,48638,50547
Kansas,7612,13690,28744,34981,39345,46401,46957
Kentucky,6953,14520,26292,36380,40522,47875,48354
Louisiana,7028,13760,24300,33109,39022,48627,50349
Maine,7572,13071,26881,35561,39610,44731,46106
Maryland,9383,17558,36319,44048,52331,62849,65333
Massachusetts,8764,17253,34712,46580,54679,66712,68000
Michigan,9826,19663,37072,49044,56973,57327,57958
Minnesota,8658,15912,32190,39802,46906,51938,53069
Mississippi,5798,11850,24292,31857,36590,44498,45644
Missouri,7799,13682,27094,35656,39067,44249,45317
Montana,7606,14537,25081,32121,38485,44426,45759
Nebraska,7375,13516,25522,33237,39456,44957,46080
Nevada,9215,16295,30590,39390,43394,50067,51524
New Hampshire,7771,13017,28986,37734,43941,49872,51365
New Jersey,9130,17161,35676,52015,56682,63111,64809
New Mexico,7796,14887,24756,32554,39391,45752,46401
New York,10336,19812,38925,51020,56200,69118,71470
North Carolina,7494,14117,27883,39404,43348,48648,48648
North Dakota,6696,13263,23016,29863,36695,41654,42964
Ohio,8300,15269,31218,41436,48692,54656,55931
Oklahoma,6882,13107,23070,31298,37879,43846,44143
Oregon,8818,16266,30840,42336,48330,54085,55224
Pennsylvania,8858,16515,33338,48321,53258,57237,58124
Rhode Island,8776,18002,36057,47041,53473,58407,59636
South Carolina,6927,13063,27217,36081,42189,47421,48417
South Dakota,6403,12348,21300,29071,34040,35070,35136
Tennessee,7050,13972,27052,36328,42076,45549,46290
Texas,7255,14132,27496,37567,41011,47157,47157
Utah,7644,14909,23686,34946,39456,42335,43068
Vermont,7968,12484,29012,37758,44535,47884,49053
Virginia,8070,14060,30938,38744,42768,48365,49999
Washington,9225,18820,30457,41043,45718,52567,53653
West Virginia,7650,13710,22842,35009,38360,44701,45959
Wisconsin,8963,16006,31921,41153,44299,51121,52644
Wyoming,8232,16012,28141,34127,40497,54602,55694
