State,1969-70,1979-80,1989-90,1991-92,1992-93,1993-94,1994-95
United States,8626,15970,31367,34063,35029,35819,36933
Alabama,6818,13060,24828,26971,26953,28705,31144
Alaska,10560,27210,43153,44661,46701,47512,47951
Arizona,8711,15054,29402,31176,31352,31800,32090
Arkansas,6307,12299,22352,27070,27433,28098,28409
California,10315,18020,37998,39922,40035,40264,40667
Colorado,7761,16205,30758,33072,33541,33826,34571
Connecticut,9262,16229,40461,46971,48343,49769,51300
Delaware,9015,16148,33377,34548,36217,37469,39076
District of Columbia,10285,22190,38402,38798,38702,42543,42959
Florida,8412,14149,28803,31070,31172,31944,32588
Georgia,7276,13853,28006,29372,30223,30712,32828
Hawaii,9453,19920,32047,34528,36470,36564,38518
Idaho,6890,13611,23861,26334,27011,27756,29783
Illinois,9569,17601,32794,36461,38632,39387,41041
Indiana,8833,15599,30902,34006,35066,35712,36516
Iowa,8355,15203,26747,29202,30130,30760,31511
Kansas,7612,13690,28744,30731,32863,33919,34936
Kentucky,6953,14520,26292,30870,31115,31625,32257
Louisiana,7028,13760,24300,25963,26102,26285,26574
Maine,7572,13071,26881,30097,30250,30996,31856
Maryland,9383,17558,36319,38728,38753,39453,40636
Massachusetts,8764,17253,34712,37845,38774,40852,42078
Michigan,9826,19663,37072,41490,43901,45186,47412
Minnesota,8658,15912,32190,34451,35093,36146,37412
Mississippi,5798,11850,24292,24367,24367,25153,26910
Missouri,7799,13682,27094,28895,29382,30310,31217
Montana,7606,14537,25081,27590,27617,28200,28785
Nebraska,7375,13516,25522,27231,28768,29564,30822
Nevada,9215,16295,30590,33857,34119,33955,34836
New Hampshire,7771,13017,28986,33170,33931,34121,34974
New Jersey,9130,17161,35676,41027,42680,44693,46801
New Mexico,7796,14887,24756,26239,26532,27922,28865
New York,10336,19812,38925,43335,44999,45772,47250
North Carolina,7494,14117,27883,28791,29315,29728,31079
North Dakota,6696,13263,23016,24495,25211,25506,26327
Ohio,8300,15269,31218,32932,34519,35678,36685
Oklahoma,6882,13107,23070,25339,25918,27009,27971
Oregon,8818,16266,30840,34100,35880,37590,38700
Pennsylvania,8858,16515,33338,38715,41215,42411,44489
Rhode Island,8776,18002,36057,36417,37933,39261,40729
South Carolina,6927,13063,27217,28068,29224,29566,30341
South Dakota,6403,12348,21300,23291,24289,25259,26017
Tennessee,7050,13972,27052,28621,28960,30514,31270
Texas,7255,14132,27496,29041,29935,30519,31310
Utah,7644,14909,23686,26339,27239,27706,28676
Vermont,7968,12484,29012,33646,34824,34517,36311
Virginia,8070,14060,30938,31764,33212,33009,33753
Washington,9225,18820,30457,34823,35759,35863,36120
West Virginia,7650,13710,22842,27366,30301,30549,31923
Wisconsin,8963,16006,31921,35227,35926,35990,37349
Wyoming,8232,16012,28141,30425,30080,30952,31300
