State,1969-70,1979-80,1989-90,1999-2000,2009-10,2012-13,2013-14
United States,8626,15970,31367,41807,55202,56103,56689
Alabama,6818,13060,24828,36689,47571,47949,48413
Alaska,10560,27210,43153,46462,59672,65468,66739
Arizona,8711,15054,29402,36902,46952,49885,51109
Arkansas,6307,12299,22352,33386,46700,46631,46950
California,10315,18020,37998,47680,68203,69324,70126
Colorado,7761,16205,30758,38163,49202,49844,50651
Connecticut,9262,16229,40461,51780,64350,69397,70584
Delaware,9015,16148,33377,44435,57080,59679,60571
District of Columbia,10285,22190,38402,47076,64548,70906,73162
Florida,8412,14149,28803,36722,46708,46598,46691
Georgia,7276,13853,28006,41023,53112,52880,52924
Hawaii,9453,19920,32047,40578,55063,54300,56291
Idaho,6890,13611,23861,35547,46283,49734,50945
Illinois,9569,17601,32794,46486,62077,59113,60124
Indiana,8833,15599,30902,41850,49986,50065,50644
Iowa,8355,15203,26747,35678,49626,50946,51662
Kansas,7612,13690,28744,34981,46657,47464,48221
Kentucky,6953,14520,26292,36380,49543,50203,50705
Louisiana,7028,13760,24300,33109,48903,51381,52259
Maine,7572,13071,26881,35561,46106,48430,49232
Maryland,9383,17558,36319,44048,63971,64248,64868
Massachusetts,8764,17253,34712,46580,69273,72334,73736
Michigan,9826,19663,37072,49044,57958,61560,61866
Minnesota,8658,15912,32190,39802,52431,56268,57230
Mississippi,5798,11850,24292,31857,45644,41814,42187
Missouri,7799,13682,27094,35656,45317,47517,48329
Montana,7606,14537,25081,32121,45759,48855,49893
Nebraska,7375,13516,25522,33237,46227,48997,49545
Nevada,9215,16295,30590,39390,51524,55957,57391
New Hampshire,7771,13017,28986,37734,51443,55599,57057
New Jersey,9130,17161,35676,52015,65130,68797,70060
New Mexico,7796,14887,24756,32554,46258,45453,45727
New York,10336,19812,38925,51020,71633,75279,76566
North Carolina,7494,14117,27883,39404,46850,45737,45355
North Dakota,6696,13263,23016,29863,42964,47344,48666
Ohio,8300,15269,31218,41436,55958,56307,57270
Oklahoma,6882,13107,23070,31298,47691,44373,44277
Oregon,8818,16266,30840,42336,55224,57612,58597
Pennsylvania,8858,16515,33338,48321,59156,62994,64072
Rhode Island,8776,18002,36057,47041,59686,63474,64696
South Carolina,6927,13063,27217,36081,47508,48375,48425
South Dakota,6403,12348,21300,29071,38837,39018,40023
Tennessee,7050,13972,27052,36328,46290,47563,48049
Texas,7255,14132,27496,37567,48261,48819,49270
Utah,7644,14909,23686,34946,45885,49393,50659
Vermont,7968,12484,29012,37758,49084,52526,53656
Virginia,8070,14060,30938,38744,50015,48670,49233
Washington,9225,18820,30457,41043,53003,52234,52236
West Virginia,7650,13710,22842,35009,45959,45453,45583
Wisconsin,8963,16006,31921,41153,51264,53797,54717
Wyoming,8232,16012,28141,34127,55861,56775,57910
