State,1939,1949,1959,1969,1979,1989,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,1441.0,3010.0,5174,9047.0,16715.0,32638.0,34063.0,35029.0,35819.0,36933.0,37846.0,40435.0,41272.0,42459.0,41724.0,42898.0,44604.0,45822.0,46752.0,47750.0,49109.0,52308.0,53910.0,55350.0,56069.0,56643.0,56383.0,56689.0,57379.0,58064.0,58950.0,60483.0,61730.0,63645.0,65090.0
Alabama,744.0,2111.0,4002,6954.0,13338.0,26200.0,26971.0,26953.0,28705.0,31144.0,31307.0,33744.0,34040.0,36740.0,36689.0,37956.0,39268.0,38246.0,38325.0,38863.0,40347.0,46604.0,48906.0,47156.0,48282.0,48003.0,47949.0,48413.0,49497.0,49781.0,48868.0,50239.0,50810.0,54095.0,54271.0
Alaska,,,6859,10993.0,27697.0,43161.0,44661.0,46701.0,47512.0,47951.0,49620.0,52033.0,48760.0,48085.0,47262.0,46986.0,49418.0,49685.0,51736.0,52424.0,53553.0,56758.0,58916.0,59729.0,61093.0,62425.0,65468.0,66739.0,66755.0,67443.0,68138.0,69474.0,70277.0,70877.0,72861.0
Arizona,1544.0,3556.0,5590,8975.0,16180.0,33592.0,31176.0,31352.0,31800.0,32090.0,32484.0,44157.0,44819.0,45785.0,35650.0,36302.0,36966.0,40894.0,41843.0,42905.0,44672.0,45772.0,47937.0,46952.0,47553.0,48691.0,49885.0,51109.0,45406.0,45477.0,47403.0,47746.0,49892.0,50381.0,52157.0
Arkansas,584.0,1801.0,3295,6461.0,12704.0,23296.0,27070.0,27433.0,28098.0,28409.0,29322.0,31852.0,32186.0,32879.0,33386.0,34476.0,35389.0,37753.0,39314.0,40495.0,42093.0,45773.0,47472.0,49051.0,47700.0,46959.0,46632.0,46950.0,48017.0,48220.0,48616.0,49017.0,51019.0,49822.0,50992.0
California,2351.0,,6600,10950.0,18626.0,39309.0,39922.0,40035.0,40264.0,40667.0,42516.0,45349.0,45610.0,46593.0,47680.0,48923.0,53870.0,56283.0,56444.0,57876.0,59345.0,64424.0,66986.0,70458.0,69434.0,69496.0,69324.0,70126.0,72535.0,72842.0,78711.0,81126.0,82282.0,84659.0,85892.0
Colorado,1393.0,2821.0,4997,8105.0,16840.0,31832.0,33072.0,33541.0,33826.0,34571.0,35364.0,37473.0,38590.0,39421.0,38163.0,39284.0,40222.0,41275.0,43319.0,44161.0,45616.0,47248.0,48707.0,49505.0,49938.0,50407.0,49844.0,50651.0,49828.0,50039.0,46506.0,52389.0,53301.0,57269.0,60611.0
Connecticut,1861.0,3558.0,6008,9597.0,16989.0,41888.0,46971.0,48343.0,49769.0,51300.0,50400.0,52067.0,52480.0,53429.0,51780.0,52100.0,54300.0,54362.0,57337.0,58688.0,59499.0,61976.0,63976.0,64350.0,65571.0,70821.0,69766.0,70584.0,71709.0,72013.0,72561.0,73113.0,76465.0,78247.0,79742.0
Delaware,1684.0,3273.0,5800,9387.0,16845.0,34620.0,34548.0,36217.0,37469.0,39076.0,40533.0,43085.0,44169.0,44916.0,44435.0,47047.0,48363.0,50772.0,49366.0,50869.0,54264.0,55994.0,55994.0,57080.0,57934.0,58800.0,59679.0,60571.0,59195.0,59085.0,60214.0,60484.0,62308.0,64853.0,65798.0
District of Columbia,2350.0,3920.0,6280,10700.0,23027.0,43637.0,38798.0,38702.0,42543.0,42959.0,43700.0,40854.0,42068.0,42974.0,47076.0,48651.0,47049.0,50763.0,57009.0,58456.0,61195.0,60628.0,62557.0,64548.0,66601.0,68720.0,70906.0,73162.0,75490.0,75810.0,76131.0,76486.0,78477.0,79350.0,80659.0
Florida,1012.0,2958.0,5080,8785.0,14875.0,30275.0,31070.0,31172.0,31944.0,32588.0,33320.0,34980.0,35594.0,37048.0,36722.0,37824.0,38719.0,39465.0,40604.0,41081.0,43302.0,46930.0,48126.0,46912.0,46702.0,46232.0,46944.0,46691.0,48992.0,49199.0,49407.0,47721.0,48395.0,48800.0,49583.0
Georgia,770.0,1963.0,3904,7520.0,14547.0,29541.0,29372.0,30223.0,30712.0,32828.0,34307.0,37344.0,39412.0,41591.0,41023.0,42216.0,44073.0,45533.0,45988.0,46526.0,48300.0,51560.0,53270.0,54274.0,53906.0,52938.0,52880.0,52924.0,53382.0,54190.0,54602.0,56329.0,57137.0,60578.0,60553.0
Hawaii,,,5390,9600.0,20436.0,32956.0,34528.0,36470.0,36564.0,38518.0,35807.0,36986.0,39751.0,41547.0,40578.0,41980.0,41951.0,44464.0,45479.0,44273.0,51599.0,53400.0,55733.0,58168.0,55063.0,54268.0,54300.0,56291.0,57189.0,57431.0,57674.0,57866.0,59757.0,65409.0,70922.0
Idaho,1057.0,2481.0,4216,7081.0,14110.0,24758.0,26334.0,27011.0,27756.0,29783.0,30891.0,33277.0,34326.0,35643.0,35162.0,36375.0,37482.0,40148.0,41080.0,42122.0,43390.0,44099.0,45439.0,46283.0,47416.0,48551.0,49734.0,50945.0,45218.0,45409.0,47504.0,49225.0,50757.0,52875.0,51817.0
