State,1969-70,1979-80,1989-90,1999-200,2000-01,2001-02,2002-03
United States,8626,15970,31367,41827,43400,44683,45822
Alabama,6818,13060,24828,36689,37069,37194,38246
Alaska,10560,27210,43153,46462,48123,49418,49685
Arizona,8711,15054,29402,36902,37167,39973,40894
Arkansas,6307,12299,22352,33386,34641,36962,37753
California,10315,18020,37998,47680,52480,54348,56283
Colorado,7761,16205,30758,38163,39184,40659,41275
Connecticut,9262,16229,40461,51780,52693,53551,54362
Delaware,9015,16148,33377,44435,47047,48363,50772
District of Columbia,10285,22190,38402,47076,48704,47049,50763
Florida,8412,14149,28803,36722,38230,39275,39465
Georgia,7276,13853,28006,41023,42216,44073,45533
Hawaii,9453,19920,32047,40578,40052,42615,44464
Idaho,6890,13611,23861,35547,37450,39591,40148
Illinois,9569,17601,32794,46486,47847,49435,51289
Indiana,8833,15599,30902,41850,43311,44195,45097
Iowa,8355,15203,26747,35678,36479,38230,38921
Kansas,7612,13690,28744,34981,35901,37093,38123
Kentucky,6953,14520,26292,36380,36589,37951,38981
Louisiana,7028,13760,24300,33109,33615,36328,36878
Maine,7572,13071,26881,35561,36373,37300,38121
Maryland,9383,17558,36319,44048,45963,48251,49677
Massachusetts,8764,17253,34712,46580,48649,50293,52043
Michigan,9826,19663,37072,49044,51317,52676,54071
Minnesota,8658,15912,32190,39802,42212,42194,42833
Mississippi,5798,11850,24292,31857,31954,33295,34555
Missouri,7799,13682,27094,35656,36715,37996,38826
Montana,7606,14537,25081,32121,33249,34379,35754
Nebraska,7375,13516,25522,33237,34175,36236,37896
Nevada,9215,16295,30590,39390,40443,40764,41795
New Hampshire,7771,13017,28986,37734,38301,39915,40519
New Jersey,9130,17161,35676,52015,52268,53192,54166
New Mexico,7796,14887,24756,32554,33785,36440,36687
New York,10336,19812,38925,51020,51500,52000,52600
North Carolina,7494,14117,27883,39404,41480,42680,43076
North Dakota,6696,13263,23016,29863,30891,32253,33210
Ohio,8300,15269,31218,41436,42764,44029,45452
Oklahoma,6882,13107,23070,31298,34499,34744,34854
Oregon,8818,16266,30840,42336,44989,46081,47600
Pennsylvania,8858,16515,33338,48321,49528,50599,51800
Rhode Island,8776,18002,36057,47041,48474,49758,51076
South Carolina,6927,13063,27217,36081,37938,39923,41279
South Dakota,6403,12348,21300,29071,30265,31295,32416
Tennessee,7050,13972,27052,36328,37431,38515,39677
Texas,7255,14132,27496,37567,38361,39232,40001
Utah,7644,14909,23686,34946,36441,37414,38413
Vermont,7968,12484,29012,37758,38253,39240,41603
Virginia,8070,14060,30938,38744,40175,41731,43152
Washington,9225,18820,30457,41043,42137,43464,44949
West Virginia,7650,13710,22842,35009,35888,36751,38508
Wisconsin,8963,16006,31921,41153,42122,42232,42871
Wyoming,8232,16012,28141,34127,34678,37837,37876
